ip,time,method,path,status,size
83.149.9.216,2015-05-17 10:05:03+00:00,GET,/presentations/logstash-monitorama-2013/images/kibana-search.png,200,203023
83.149.9.216,2015-05-17 10:05:43+00:00,GET,/presentations/logstash-monitorama-2013/images/kibana-dashboard3.png,200,171717
83.149.9.216,2015-05-17 10:05:47+00:00,GET,/presentations/logstash-monitorama-2013/plugin/highlight/highlight.js,200,26185
83.149.9.216,2015-05-17 10:05:12+00:00,GET,/presentations/logstash-monitorama-2013/plugin/zoom-js/zoom.js,200,7697
83.149.9.216,2015-05-17 10:05:07+00:00,GET,/presentations/logstash-monitorama-2013/plugin/notes/notes.js,200,2892
83.149.9.216,2015-05-17 10:05:34+00:00,GET,/presentations/logstash-monitorama-2013/images/sad-medic.png,200,430406
83.149.9.216,2015-05-17 10:05:57+00:00,GET,/presentations/logstash-monitorama-2013/css/fonts/Roboto-Bold.ttf,200,38720
83.149.9.216,2015-05-17 10:05:50+00:00,GET,/presentations/logstash-monitorama-2013/css/fonts/Roboto-Regular.ttf,200,41820
83.149.9.216,2015-05-17 10:05:24+00:00,GET,/presentations/logstash-monitorama-2013/images/frontend-response-codes.png,200,52878
83.149.9.216,2015-05-17 10:05:50+00:00,GET,/presentations/logstash-monitorama-2013/images/kibana-dashboard.png,200,321631
83.149.9.216,2015-05-17 10:05:46+00:00,GET,/presentations/logstash-monitorama-2013/images/Dreamhost_logo.svg,200,2126
83.149.9.216,2015-05-17 10:05:11+00:00,GET,/presentations/logstash-monitorama-2013/images/kibana-dashboard2.png,200,394967
83.149.9.216,2015-05-17 10:05:19+00:00,GET,/presentations/logstash-monitorama-2013/images/apache-icon.gif,200,8095
83.149.9.216,2015-05-17 10:05:33+00:00,GET,/presentations/logstash-monitorama-2013/images/nagios-sms5.png,200,78075
83.149.9.216,2015-05-17 10:05:00+00:00,GET,/presentations/logstash-monitorama-2013/images/redis.png,200,25230
83.149.9.216,2015-05-17 10:05:25+00:00,GET,/presentations/logstash-monitorama-2013/images/elasticsearch.png,200,8026
83.149.9.216,2015-05-17 10:05:59+00:00,GET,/presentations/logstash-monitorama-2013/images/logstashbook.png,200,54662
83.149.9.216,2015-05-17 10:05:30+00:00,GET,/presentations/logstash-monitorama-2013/images/github-contributions.png,200,34245
83.149.9.216,2015-05-17 10:05:53+00:00,GET,/presentations/logstash-monitorama-2013/css/print/paper.css,200,4254
83.149.9.216,2015-05-17 10:05:24+00:00,GET,/presentations/logstash-monitorama-2013/images/1983_delorean_dmc-12-pic-38289.jpeg,200,220562
83.149.9.216,2015-05-17 10:05:54+00:00,GET,/presentations/logstash-monitorama-2013/images/simple-inputs-filters-outputs.jpg,200,1168622
83.149.9.216,2015-05-17 10:05:33+00:00,GET,/presentations/logstash-monitorama-2013/images/tiered-outputs-to-inputs.jpg,200,1079983
83.149.9.216,2015-05-17 10:05:56+00:00,GET,/favicon.ico,200,3638
24.236.252.67,2015-05-17 10:05:40+00:00,GET,/favicon.ico,200,3638
93.114.45.13,2015-05-17 10:05:14+00:00,GET,/articles/dynamic-dns-with-dhcp/,200,18848
93.114.45.13,2015-05-17 10:05:04+00:00,GET,/reset.css,200,1015
93.114.45.13,2015-05-17 10:05:45+00:00,GET,/style2.css,200,4877
93.114.45.13,2015-05-17 10:05:14+00:00,GET,/favicon.ico,200,3638
93.114.45.13,2015-05-17 10:05:17+00:00,GET,/images/jordan-80.png,200,6146
93.114.45.13,2015-05-17 10:05:21+00:00,GET,/images/web/2009/banner.png,200,52315
66.249.73.135,2015-05-17 10:05:40+00:00,GET,/blog/tags/ipv6,200,12251
50.16.19.13,2015-05-17 10:05:10+00:00,GET,/blog/tags/puppet?flav=rss20,200,14872
66.249.73.185,2015-05-17 10:05:37+00:00,GET,/,200,37932
110.136.166.128,2015-05-17 10:05:35+00:00,GET,/projects/xdotool/,200,12292
46.105.14.53,2015-05-17 10:05:03+00:00,GET,/blog/tags/puppet?flav=rss20,200,14872
110.136.166.128,2015-05-17 10:05:06+00:00,GET,/reset.css,200,1015
110.136.166.128,2015-05-17 10:05:03+00:00,GET,/style2.css,200,4877
110.136.166.128,2015-05-17 10:05:41+00:00,GET,/favicon.ico,200,3638
110.136.166.128,2015-05-17 10:05:32+00:00,GET,/images/jordan-80.png,200,6146
123.125.71.35,2015-05-17 10:05:46+00:00,GET,/blog/tags/release,200,40693
110.136.166.128,2015-05-17 10:05:08+00:00,GET,/images/web/2009/banner.png,200,52315
50.150.204.184,2015-05-17 10:05:46+00:00,GET,/images/googledotcom.png,200,65748
207.241.237.225,2015-05-17 10:05:58+00:00,GET,/blog/tags/examples,200,9208
200.49.190.101,2015-05-17 10:05:36+00:00,GET,/reset.css,200,1015
200.49.190.100,2015-05-17 10:05:38+00:00,GET,/blog/tags/web,200,44019
200.49.190.101,2015-05-17 10:05:11+00:00,GET,/style2.css,200,4877
200.49.190.101,2015-05-17 10:05:37+00:00,GET,/images/jordan-80.png,200,6146
66.249.73.185,2015-05-17 10:05:00+00:00,GET,/reset.css,200,1015
66.249.73.135,2015-05-17 10:05:16+00:00,GET,/blog/tags/munin,200,9746
66.249.73.135,2015-05-17 10:05:33+00:00,GET,/blog/tags/firefox?flav=rss20,200,16021
66.249.73.135,2015-05-17 10:05:17+00:00,GET,/blog/geekery/eventdb-ideas.html,200,11418
67.214.178.190,2015-05-17 10:05:48+00:00,GET,/,200,37932
67.214.178.190,2015-05-17 10:05:18+00:00,GET,/blog/geekery/installing-windows-8-consumer-preview.html,200,8948
207.241.237.220,2015-05-17 10:05:28+00:00,GET,/blog/tags/projects,200,28370
46.105.14.53,2015-05-17 10:05:44+00:00,GET,/blog/tags/puppet?flav=rss20,200,14872
207.241.237.227,2015-05-17 10:05:47+00:00,GET,/blog/geekery/soekris-gpio.html,200,9587
91.177.205.119,2015-05-17 10:05:22+00:00,GET,/blog/geekery/xvfb-firefox.html,200,10975
91.177.205.119,2015-05-17 10:05:34+00:00,GET,/reset.css,200,1015
91.177.205.119,2015-05-17 10:05:37+00:00,GET,/style2.css,200,4877
91.177.205.119,2015-05-17 10:05:54+00:00,GET,/images/jordan-80.png,200,6146
91.177.205.119,2015-05-17 10:05:31+00:00,GET,/images/web/2009/banner.png,200,52315
91.177.205.119,2015-05-17 10:05:32+00:00,GET,/favicon.ico,200,3638
66.249.73.185,2015-05-17 10:05:22+00:00,GET,/doc/index.html?org/elasticsearch/action/search/SearchResponse.html,404,294
207.241.237.228,2015-05-17 10:05:40+00:00,GET,/blog/tags/defcon,200,24142
207.241.237.101,2015-05-17 10:05:51+00:00,GET,/blog/tags/regex,200,14888
87.169.99.232,2015-05-17 10:05:59+00:00,GET,/presentations/puppet-at-loggly/puppet-at-loggly.pdf.html,200,24747
209.85.238.199,2015-05-17 10:05:30+00:00,GET,/blog/tags/firefox?flav=rss20,200,16021
209.85.238.199,2015-05-17 10:05:15+00:00,GET,/test.xml,200,1370
81.220.24.207,2015-05-17 10:05:13+00:00,GET,/blog/geekery/ssl-latency.html,200,17147
81.220.24.207,2015-05-17 10:05:44+00:00,GET,/reset.css,200,1015
81.220.24.207,2015-05-17 10:05:26+00:00,GET,/images/jordan-80.png,200,6146
81.220.24.207,2015-05-17 10:05:39+00:00,GET,/style2.css,200,4877
81.220.24.207,2015-05-17 10:05:52+00:00,GET,/images/web/2009/banner.png,200,52315
81.220.24.207,2015-05-17 10:05:21+00:00,GET,/favicon.ico,200,3638
66.249.73.135,2015-05-17 11:05:17+00:00,GET,/blog/geekery/vmware-cpu-performance.html,200,12908
46.105.14.53,2015-05-17 11:05:42+00:00,GET,/blog/tags/puppet?flav=rss20,200,14872
218.30.103.62,2015-05-17 11:05:11+00:00,GET,/robots.txt,200,-
218.30.103.62,2015-05-17 11:05:46+00:00,GET,/robots.txt,200,-
218.30.103.62,2015-05-17 11:05:45+00:00,GET,/projects/fex/,200,14352
74.125.40.20,2015-05-17 11:05:59+00:00,GET,/?flav=rss20,200,29941
71.212.224.97,2015-05-17 11:05:05+00:00,GET,/projects/xdotool/,200,12292
71.212.224.97,2015-05-17 11:05:15+00:00,GET,/reset.css,200,1015
71.212.224.97,2015-05-17 11:05:22+00:00,GET,/style2.css,200,4877
71.212.224.97,2015-05-17 11:05:11+00:00,GET,/images/jordan-80.png,200,6146
71.212.224.97,2015-05-17 11:05:28+00:00,GET,/images/web/2009/banner.png,200,52315
218.30.103.62,2015-05-17 11:05:17+00:00,GET,/projects/xdotool/xdotool.xhtml,304,-
108.174.55.234,2015-05-17 11:05:26+00:00,GET,/?flav=rss20,200,29941
218.30.103.62,2015-05-17 11:05:37+00:00,GET,/blog/geekery/c-vs-python-bdb.html,200,11388
121.107.188.202,2015-05-17 11:05:09+00:00,GET,/presentations/logstash-monitorama-2013/images/kibana-dashboard3.png,200,171717
218.30.103.62,2015-05-17 11:05:39+00:00,GET,/blog/productivity/better-zsh-xterm-title-fix.html,200,10185
218.30.103.62,2015-05-17 11:05:11+00:00,GET,/blog/geekery/xvfb-firefox.html,200,10975
218.30.103.62,2015-05-17 11:05:00+00:00,GET,/blog/geekery/puppet-facts-into-mcollective.html,200,9872
198.46.149.143,2015-05-17 11:05:10+00:00,GET,/blog/geekery/disabling-battery-in-ubuntu-vms.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+semicomplete%2Fmain+%28semicomplete.com+-+Jordan+Sissel%29,200,9316
198.46.149.143,2015-05-17 11:05:48+00:00,GET,/blog/geekery/solving-good-or-bad-problems.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+semicomplete%2Fmain+%28semicomplete.com+-+Jordan+Sissel%29,200,10756
218.30.103.62,2015-05-17 11:05:28+00:00,GET,/blog/geekery/jquery-interface-puffer.html%20target=,200,202
218.30.103.62,2015-05-17 11:05:05+00:00,GET,/blog/geekery/ec2-reserved-vs-ondemand.html,200,11834
66.249.73.135,2015-05-17 11:05:31+00:00,GET,/blog/web/firefox-scrolling-fix.html,200,8956
86.1.76.62,2015-05-17 11:05:36+00:00,GET,/projects/xdotool/,200,12292
86.1.76.62,2015-05-17 11:05:25+00:00,GET,/reset.css,200,1015
86.1.76.62,2015-05-17 11:05:19+00:00,GET,/style2.css,200,4877
86.1.76.62,2015-05-17 11:05:03+00:00,GET,/favicon.ico,200,3638
86.1.76.62,2015-05-17 11:05:28+00:00,GET,/images/jordan-80.png,200,6146
86.1.76.62,2015-05-17 11:05:07+00:00,GET,/images/web/2009/banner.png,200,52315
